iterID,Formulation,A,B,C,D,E,F,Stress,Modulus,Toughness,ExpectedStress,ExpectedModulus,ExpectedToughness
19,146,0,0.16,0,0,0.15,0.69,334.733863,2.04072446,65124.3183,376.673232,2.27371843,73134.8596
19,147,0,0.2,0,0,0.15,0.65,514.029286,1.54432647,93643.6527,388.048284,2.17494401,75389.2548
19,148,0.5,0.01,0.04,0.02,0,0.43,526.10931,1.91759371,98663.7705,446.402644,1.71959937,88039.3471
20,149,0,0.29,0.14,0,0,0.57,555.082587,1.41009083,91162.3449,254.998044,2.0807503,56775.2603
20,150,0.58,0,0.05,0,0.01,0.36,653.976001,1.12145854,96005.8355,435.139473,1.60587312,95039.297
20,151,0.37,0,0,0.01,0,0.62,613.315698,1.35448687,102903.809,463.039944,1.99092946,83400.9917
20,152,0.39,0.29,0,0,0,0.32,574.568764,1.47624378,99854.671,529.68643,1.66171361,76113.9156
21,153,0.47,0,0,0.01,0.12,0.4,596.199581,1.58512832,97568.0584,524.570375,1.54605929,100428.092
21,154,0.37,0,0,0.01,0.16,0.46,673.873293,1.30851847,96609.9429,535.861677,1.62268226,94294.9518
21,155,0.46,0,0,0.01,0.1,0.43,570.925332,1.57204291,97057.6408,519.616258,1.62251614,99658.8051
21,156,0.48,0,0,0.01,0.14,0.37,453.616031,1.8558735,85374.7271,530.454684,1.46567248,100562.674
22,157,0.47,0,0,0,0.14,0.39,512.368511,1.7798611,93175.9066,540.700713,1.59142428,100535.065
22,158,0.4,0,0,0,0.16,0.44,384.823554,1.85102776,77997.5467,544.430242,1.66211964,96831.4743
22,159,0.46,0,0,0,0.11,0.43,536.01494,1.71126555,96497.9814,528.554906,1.68099372,99550.0462
22,160,0.01,0.37,0.11,0,0.01,0.5,289.971224,1.9717393,66399.4183,265.74168,2.12384809,56009.9514
23,161,0.5,0,0,0,0.3,0.2,596.718587,0.998163119,92484.7776,668.407043,1.14026476,104438.019
23,162,0.53,0.06,0,0,0.32,0.09,390.527786,0.886866118,64360.6166,702.725704,0.80019302,100639.968
23,163,0.53,0,0,0,0.33,0.14,429.986491,0.796820208,68899.7837,690.05825,0.95512205,103268.693
23,164,0.42,0,0,0,0.27,0.31,397.029121,1.084965,76450.3138,614.532954,1.41877261,102064.304
24,165,0.28,0,0,0,0,0.72,413.421619,1.72759505,80202.5821,355.037964,2.16679535,78924.3522
24,166,0.26,0,0,0.01,0,0.73,512.469968,1.66638787,92116.8858,345.765447,2.18947647,77746.2162
