Sample,Sample,Composition,Composition,Composition,Composition,Composition,Composition,Process,Process,Sample,Sample
Sample,Formulation,A,B,C,D,E,F,PercentOpen,Pressure,Gap (mm),Diameter (mm)
2,73,0.15,0.28,0.25,0.01,0.06,0.25,70,80,7.93,8.05
1,75,0,0,0,0,0,1,80,80,7.8,7.6
2,75,0,0,0,0,0,1,80,80,7.76,7.7
3,75,0,0,0,0,0,1,80,80,7.8,7.65
4,75,0,0,0,0,0,1,80,80,7.8,7.7
1,76,0,0,0,0,1,0,80,80,7.95,7.82
2,76,0,0,0,0,1,0,80,80,7.91,7.7
3,76,0,0,0,0,1,0,80,80,7.93,7.7
4,76,0,0,0,0,1,0,80,80,7.93,7.55
1,77,0.02,0.11,0,0.5,0.03,0.34,75,80,7.85,8.2
2,77,0.02,0.11,0,0.5,0.03,0.34,75,80,7.91,8.7
3,77,0.02,0.11,0,0.5,0.03,0.34,75,80,7.91,8.55
1,78,0.01,0.19,0,0,0,0.8,75,80,7.96,8.12
2,78,0.01,0.19,0,0,0,0.8,75,80,8,8
1,80,0.18,0.12,0,0.36,0,0.34,75,80,7.88,8.03
2,80,0.18,0.12,0,0.36,0,0.34,75,80,7.88,8.1
3,80,0.18,0.12,0,0.36,0,0.34,75,80,7.92,7.92
4,80,0.18,0.12,0,0.36,0,0.34,75,80,7.89,8.3
1,79,0.01,0.39,0,0.02,0.01,0.57,75,80,7.82,8.45
2,79,0.01,0.39,0,0.02,0.01,0.57,75,80,7.8,8.35
1,81,0.01,0,0.13,0.25,0,0.61,75,80,7.84,8.36
2,81,0.01,0,0.13,0.25,0,0.61,75,80,7.85,8.3
2,82,0.32,0,0.12,0.01,0,0.55,75,80,7.91,7.85
3,82,0.32,0,0.12,0.01,0,0.55,75,80,7.91,7.8
4,82,0.32,0,0.12,0.01,0,0.55,75,80,7.91,7.75
1,83,0.01,0.15,0.1,0.21,0,0.53,75,80,7.83,8.45
2,83,0.01,0.15,0.1,0.21,0,0.53,75,80,7.76,8.25
3,83,0.01,0.15,0.1,0.21,0,0.53,75,80,7.92,8.5
1,84,0.01,0,0.15,0.25,0,0.59,75,80,7.89,8.27
2,84,0.01,0,0.15,0.25,0,0.59,75,80,7.92,8.4
3,84,0.01,0,0.15,0.25,0,0.59,75,80,7.94,8.45
4,84,0.01,0,0.15,0.25,0,0.59,75,80,7.93,8.4
1,85,0.15,0.45,0.04,0.03,0.01,0.32,75,80,8.05,8.6
2,85,0.15,0.45,0.04,0.03,0.01,0.32,75,80,8.02,8.2
3,85,0.15,0.45,0.04,0.03,0.01,0.32,75,80,7.99,8.35
1,86,0.05,0.32,0,0.57,0.06,0,75,80,7.79,8.9
2,86,0.05,0.32,0,0.57,0.06,0,75,80,7.79,8.85
3,86,0.05,0.32,0,0.57,0.06,0,75,80,7.75,8.55
4,86,0.05,0.32,0,0.57,0.06,0,75,80,7.73,8.4
1,87,0.31,0.52,0,0.08,0.02,0.07,75,80,7.96,8.18
2,87,0.31,0.52,0,0.08,0.02,0.07,75,80,7.95,8.34
3,87,0.31,0.52,0,0.08,0.02,0.07,75,80,7.97,7.92
1,88,0.15,0.04,0.13,0.67,0.01,0,75,80,7.97,8.62
2,88,0.15,0.04,0.13,0.67,0.01,0,75,80,7.97,8.85
3,88,0.15,0.04,0.13,0.67,0.01,0,75,80,7.95,8.92
1,89,0,0.21,0.2,0.58,0.01,0,60,80,7.96,8.45
2,89,0,0.21,0.2,0.58,0.01,0,60,80,7.92,8.16
3,89,0,0.21,0.2,0.58,0.01,0,60,80,8,8.28
1,90,0,0.01,0.28,0.67,0.01,0.03,65,80,7.92,8.15
2,90,0,0.01,0.28,0.67,0.01,0.03,65,80,7.96,8.9
3,90,0,0.01,0.28,0.67,0.01,0.03,65,80,7.92,8.8
