iterID,A,B,C,D,E,F,ParetoGPApproximation_Stress,ParetoGPApproximation_Modulus,ParetoGPApproximation_Toughness,ParetoFamily
2,0.0013,0.3624,0.0009,0.0001,0.0018,0.6328,626.2276,2.4855,63493.9147,-1
2,0.2609,0.5043,0.0379,0.005,0.1528,0.0012,595.747,1.0152,83248.7001,-1
2,0.1751,0.3289,0,0.1724,0.0002,0.3235,563.9817,1.5614,89187.2216,-1
2,0.0021,0.2502,0,0,0.0033,0.7444,496.7808,3.2334,71110.4112,-1
2,0.2202,0.3497,0.0031,0.042,0.0259,0.356,582.1588,1.5131,84848.474,-1
2,0.2582,0.499,0.0355,0.0049,0.1512,0.0156,596.8625,1.037,83127.9156,-1
2,0.0042,0.3502,0.0374,0,0.0028,0.5681,625.2056,2.1702,64278.1866,-1
2,0.1682,0.3501,0.0045,0.066,0.0094,0.3973,591.0467,1.5766,78785.7952,-1
2,0.0092,0.1318,0.0411,0.0008,0.0024,0.7736,438.7986,3.4529,72086.6993,-1
2,0.1239,0.3497,0.0171,0.0638,0.0575,0.3709,584.0616,1.62,81011.6683,-1
2,0.0018,0.3227,0,0.0003,0.0038,0.6713,577.7011,2.733,66314.7712,-1
2,0.0601,0.3115,0.042,0.0101,0.004,0.5301,578.5634,1.9191,66594.2357,-1
2,0.0248,0.3399,0.0003,0.2801,0.0334,0.3212,565.4145,1.9262,87953.7258,-1
2,0.0502,0.3552,0.0176,0.0732,0.0759,0.4103,594.7004,1.6245,75085.2874,-1
2,0.0058,0.1418,0.0234,0.0075,0.0089,0.7893,445.9399,3.4607,71961.7559,-1
2,0.2191,0.133,0.0003,0.317,0.005,0.3253,531.5288,2.1233,94389.8488,-1
2,0.0871,0.3595,0.0076,0.1355,0.0124,0.3903,589.2518,1.5656,78833.9778,-1
2,0.004,0.2105,0.0047,0,0.0034,0.7727,477.1616,3.3838,71687.4425,-1
2,0.0055,0.3475,0.0323,0.0387,0.007,0.5368,620.6067,1.9725,64999.0457,-1
2,0.0774,0.3525,0.0194,0.0719,0.0568,0.4027,591.9262,1.6318,76172.9329,-1
2,0.0217,0.3576,0.0008,0.258,0.0017,0.3593,577.2448,1.8573,83698.3289,-1
2,0.1654,0.3612,0,0.0001,0.0621,0.4112,598.4854,1.3225,76275.6224,-1
3,0.3442,0.2799,0.0271,0.0019,0.0048,0.315,510.6497,1.6455,88270.4224,-1
3,0.0955,0.5392,0.0151,0.1035,0.2006,0.031,598.1792,0.9691,76300.5867,-1
3,0.0984,0.5526,0.0155,0.1061,0.1802,0.0317,598.2098,0.9795,76246.9613,-1
3,0.0703,0.2576,0.1515,0.0029,0.0002,0.366,426.3657,2.1015,75094.4816,-1
3,0.2674,0.2662,0.0358,0.0846,0,0.3101,523.2371,1.6159,87008.8836,-1
3,0.3378,0.4615,0.0893,0.0055,0.0117,0.0048,542.332,1.4336,84663.0406,-1
3,0.0751,0.2474,0.1485,0.0031,0.0003,0.377,435.044,2.1005,76450.7708,-1
3,0.0692,0.2582,0.1463,0.0032,0.0049,0.3719,437.8475,2.0987,76603.762,-1
