iterID,A,B,C,D,E,F,Pareto_Stress,Pareto_Modulus,Pareto_Toughness
21,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
21,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
21,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
21,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601
21,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705
21,0.44,0.27,0,0,0.17,0.12,653.976001,1.12145854,96005.8355
21,0.34,0.14,0,0,0.13,0.39,613.315698,1.35448687,102903.809
21,0.33,0.12,0,0,0.13,0.42,574.568764,1.47624378,99854.671
22,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
22,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
22,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
22,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
22,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
22,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
22,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601
22,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705
22,0.34,0.14,0,0,0.13,0.39,613.315698,1.35448687,102903.809
22,0.33,0.12,0,0,0.13,0.42,574.568764,1.47624378,99854.671
22,0.39,0,0,0,0.22,0.39,596.199581,1.58512832,97568.0584
22,0.39,0.31,0,0,0.22,0.08,673.873293,1.30851847,96609.9429
23,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
23,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
23,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
23,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
23,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
23,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
23,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601
23,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705
23,0.34,0.14,0,0,0.13,0.39,613.315698,1.35448687,102903.809
23,0.33,0.12,0,0,0.13,0.42,574.568764,1.47624378,99854.671
23,0.39,0,0,0,0.22,0.39,596.199581,1.58512832,97568.0584
23,0.39,0.31,0,0,0.22,0.08,673.873293,1.30851847,96609.9429
23,0.35,0,0,0,0.21,0.44,536.01494,1.71126555,96497.9814
24,0,0.39,0.13,0.07,0.03,0.38,492.21644,2.03542665,77476.1977
24,0,0,0,0,0,1,307.591423,2.93333352,68673.8814
24,0.01,0.39,0,0.02,0.01,0.57,374.390709,2.13131335,72005.0906
24,0.51,0.01,0.07,0.02,0.11,0.28,559.440431,1.56038983,98460.5528
24,0,0,0,0.02,0,0.98,350.273351,2.67235249,74202.1381
24,0.37,0.47,0.1,0,0.06,0,619.826954,1.31590525,92324.89
24,0.35,0,0,0.01,0,0.64,438.268759,2.12052202,87348.601
24,0.39,0,0,0.02,0.01,0.58,526.10931,1.91759371,98663.7705
24,0.34,0.14,0,0,0.13,0.39,613.315698,1.35448687,102903.809
24,0.33,0.12,0,0,0.13,0.42,574.568764,1.47624378,99854.671
24,0.39,0,0,0,0.22,0.39,596.199581,1.58512832,97568.0584
24,0.39,0.31,0,0,0.22,0.08,673.873293,1.30851847,96609.9429
24,0.35,0,0,0,0.21,0.44,536.01494,1.71126555,96497.9814
